date,weekday,weekday_name,is_holiday,holiday_name,avg_temp_c,min_temp_c,max_temp_c,요일_월,요일_화,요일_수,요일_목,요일_금,요일_토,요일_일,주말여부,휴일여부,평일여부,봄,여름,가을,겨울,월,일
2025-04-11,4,금,0,,16.2,5.8,26.1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,4,11
2025-04-12,5,토,1,토요일,14.7,3.2,24.0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,4,12
2025-04-13,6,일,1,일요일,5.8,1.9,10.3,0,0,0,0,0,0,1,1,1,0,1,0,0,0,4,13
2025-04-14,0,월,0,,5.1,3.5,9.2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,4,14
2025-04-15,1,화,0,,8.8,2.8,15.6,0,1,0,0,0,0,0,0,0,1,1,0,0,0,4,15
2025-04-16,2,수,0,,16.0,4.5,25.4,0,0,1,0,0,0,0,0,0,1,1,0,0,0,4,16
2025-04-17,3,목,0,,21.8,13.7,28.3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,4,17
2025-04-18,4,금,0,,21.4,17.4,26.4,0,0,0,0,1,0,0,0,0,1,1,0,0,0,4,18
2025-04-19,5,토,1,토요일,20.8,15.6,27.0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,4,19
2025-04-20,6,일,1,일요일,17.6,13.7,23.9,0,0,0,0,0,0,1,1,1,0,1,0,0,0,4,20
2025-04-21,0,월,0,,21.5,15.1,27.7,1,0,0,0,0,0,0,0,0,1,1,0,0,0,4,21
2025-04-22,1,화,0,,17.7,16.5,20.2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,4,22
2025-04-23,2,수,0,,17.5,13.0,24.6,0,0,1,0,0,0,0,0,0,1,1,0,0,0,4,23
2025-04-24,3,목,0,,15.0,9.7,22.6,0,0,0,1,0,0,0,0,0,1,1,0,0,0,4,24
2025-04-25,4,금,0,,12.7,5.8,19.5,0,0,0,0,1,0,0,0,0,1,1,0,0,0,4,25
2025-04-26,5,토,1,토요일,14.4,4.8,23.3,0,0,0,0,0,1,0,1,1,0,1,0,0,0,4,26
2025-04-27,6,일,1,일요일,17.2,9.6,25.1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,4,27
2025-04-28,0,월,0,,15.3,9.0,22.7,1,0,0,0,0,0,0,0,0,1,1,0,0,0,4,28
2025-04-29,1,화,0,,14.7,6.0,22.5,0,1,0,0,0,0,0,0,0,1,1,0,0,0,4,29
2025-04-30,2,수,0,,18.6,7.9,28.4,0,0,1,0,0,0,0,0,0,1,1,0,0,0,4,30
2025-05-01,3,목,0,,14.8,10.6,21.4,0,0,0,1,0,0,0,0,0,1,1,0,0,0,5,1
2025-05-02,4,금,0,,13.6,8.1,19.8,0,0,0,0,1,0,0,0,0,1,1,0,0,0,5,2
2025-05-03,5,토,1,토요일,10.5,8.5,14.8,0,0,0,0,0,1,0,1,1,0,1,0,0,0,5,3
2025-05-04,6,일,1,일요일,14.3,6.0,21.4,0,0,0,0,0,0,1,1,1,0,1,0,0,0,5,4
2025-05-05,0,월,1,어린이날|부처님 오신 날,11.9,6.2,16.3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,5,5
2025-05-06,1,화,1,대체공휴일(부처님 오신 날),13.1,8.0,17.7,0,1,0,0,0,0,0,0,1,0,1,0,0,0,5,6
2025-05-07,2,수,0,,14.7,6.7,22.4,0,0,1,0,0,0,0,0,0,1,1,0,0,0,5,7
2025-05-08,3,목,0,,18.2,9.1,26.5,0,0,0,1,0,0,0,0,0,1,1,0,0,0,5,8
2025-05-09,4,금,0,,15.4,12.7,17.8,0,0,0,0,1,0,0,0,0,1,1,0,0,0,5,9
2025-05-10,5,토,1,토요일,12.6,12.0,16.7,0,0,0,0,0,1,0,1,1,0,1,0,0,0,5,10
2025-05-11,6,일,1,일요일,15.4,11.7,21.4,0,0,0,0,0,0,1,1,1,0,1,0,0,0,5,11
2025-05-12,0,월,0,,17.7,10.2,24.6,1,0,0,0,0,0,0,0,0,1,1,0,0,0,5,12
2025-05-13,1,화,0,,19.3,11.1,27.4,0,1,0,0,0,0,0,0,0,1,1,0,0,0,5,13
2025-05-14,2,수,0,,21.0,11.5,28.7,0,0,1,0,0,0,0,0,0,1,1,0,0,0,5,14
2025-05-15,3,목,0,,21.6,19.0,24.0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,5,15
2025-05-16,4,금,0,,20.5,17.2,24.3,0,0,0,0,1,0,0,0,0,1,1,0,0,0,5,16
2025-05-17,5,토,1,토요일,19.4,15.9,25.6,0,0,0,0,0,1,0,1,1,0,1,0,0,0,5,17
2025-05-18,6,일,1,일요일,16.2,12.0,22.5,0,0,0,0,0,0,1,1,1,0,1,0,0,0,5,18
2025-05-19,0,월,0,,18.8,10.8,23.7,1,0,0,0,0,0,0,0,0,1,1,0,0,0,5,19
2025-05-20,1,화,0,,25.4,20.0,31.5,0,1,0,0,0,0,0,0,0,1,1,0,0,0,5,20
2025-05-21,2,수,0,,25.5,20.9,29.8,0,0,1,0,0,0,0,0,0,1,1,0,0,0,5,21
2025-05-22,3,목,0,,21.2,18.1,23.9,0,0,0,1,0,0,0,0,0,1,1,0,0,0,5,22
2025-05-23,4,금,0,,19.9,17.2,24.5,0,0,0,0,1,0,0,0,0,1,1,0,0,0,5,23
2025-05-24,5,토,1,토요일,16.0,13.6,18.9,0,0,0,0,0,1,0,1,1,0,1,0,0,0,5,24
2025-05-25,6,일,1,일요일,17.8,11.2,24.9,0,0,0,0,0,0,1,1,1,0,1,0,0,0,5,25
2025-05-26,0,월,0,,19.7,12.0,26.9,1,0,0,0,0,0,0,0,0,1,1,0,0,0,5,26
2025-05-27,1,화,0,,20.5,12.9,27.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,5,27
2025-05-28,2,수,0,,20.7,14.0,27.6,0,0,1,0,0,0,0,0,0,1,1,0,0,0,5,28
2025-05-29,3,목,0,,20.6,13.9,28.0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,5,29
2025-05-30,4,금,0,,20.4,14.1,26.8,0,0,0,0,1,0,0,0,0,1,1,0,0,0,5,30
2025-05-31,5,토,1,토요일,20.4,13.3,26.1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,5,31
2025-06-01,6,일,1,일요일,22.4,14.9,29.8,0,0,0,0,0,0,1,1,1,0,0,1,0,0,6,1
2025-06-02,0,월,0,,20.4,18.1,24.4,1,0,0,0,0,0,0,0,0,1,0,1,0,0,6,2
2025-06-03,1,화,1,임시공휴일(대통령선거),21.1,16.5,27.3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,6,3
2025-06-04,2,수,0,,20.8,15.5,27.8,0,0,1,0,0,0,0,0,0,1,0,1,0,0,6,4
2025-06-05,3,목,0,,21.2,13.1,27.8,0,0,0,1,0,0,0,0,0,1,0,1,0,0,6,5
2025-06-06,4,금,1,현충일,23.7,18.1,30.1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,6,6
2025-06-07,5,토,1,토요일,24.3,16.4,31.0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,6,7
2025-06-08,6,일,1,일요일,25.5,21.5,31.5,0,0,0,0,0,0,1,1,1,0,0,1,0,0,6,8
2025-06-09,0,월,0,,25.5,20.3,31.9,1,0,0,0,0,0,0,0,0,1,0,1,0,0,6,9
2025-06-10,1,화,0,,23.6,19.0,29.6,0,1,0,0,0,0,0,0,0,1,0,1,0,0,6,10
2025-06-11,2,수,0,,23.1,16.2,30.5,0,0,1,0,0,0,0,0,0,1,0,1,0,0,6,11
2025-06-12,3,목,0,,25.1,17.5,32.6,0,0,0,1,0,0,0,0,0,1,0,1,0,0,6,12
2025-06-13,4,금,0,,21.3,18.8,26.2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,6,13
2025-06-14,5,토,1,토요일,23.8,19.5,29.6,0,0,0,0,0,1,0,1,1,0,0,1,0,0,6,14
2025-06-15,6,일,1,일요일,26.3,20.9,32.9,0,0,0,0,0,0,1,1,1,0,0,1,0,0,6,15
2025-06-16,0,월,0,,24.2,21.8,27.2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,6,16
2025-06-17,1,화,0,,25.0,20.3,30.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,6,17
2025-06-18,2,수,0,,25.8,20.7,31.5,0,0,1,0,0,0,0,0,0,1,0,1,0,0,6,18
2025-06-19,3,목,0,,27.2,19.9,32.5,0,0,0,1,0,0,0,0,0,1,0,1,0,0,6,19
2025-06-20,4,금,0,,24.9,22.7,27.6,0,0,0,0,1,0,0,0,0,1,0,1,0,0,6,20
2025-06-21,5,토,1,토요일,21.1,17.9,23.6,0,0,0,0,0,1,0,1,1,0,0,1,0,0,6,21
2025-06-22,6,일,1,일요일,23.3,17.8,29.0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,6,22
2025-06-23,0,월,0,,25.1,17.3,31.4,1,0,0,0,0,0,0,0,0,1,0,1,0,0,6,23
2025-06-24,1,화,0,,21.9,19.0,27.7,0,1,0,0,0,0,0,0,0,1,0,1,0,0,6,24
2025-06-25,2,수,0,,21.2,19.4,22.7,0,0,1,0,0,0,0,0,0,1,0,1,0,0,6,25
2025-06-26,3,목,0,,22.9,20.0,27.0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,6,26
2025-06-27,4,금,0,,25.3,20.6,30.8,0,0,0,0,1,0,0,0,0,1,0,1,0,0,6,27
2025-06-28,5,토,1,토요일,27.5,23.6,32.8,0,0,0,0,0,1,0,1,1,0,0,1,0,0,6,28
2025-06-29,6,일,1,일요일,28.7,25.2,33.4,0,0,0,0,0,0,1,1,1,0,0,1,0,0,6,29
2025-06-30,0,월,0,,29.1,23.8,33.8,1,0,0,0,0,0,0,0,0,1,0,1,0,0,6,30
2025-07-01,1,화,0,,29.0,25.4,33.7,0,1,0,0,0,0,0,0,0,1,0,1,0,0,7,1
2025-07-02,2,수,0,,29.4,25.0,34.2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,7,2
2025-07-03,3,목,0,,28.6,25.3,32.6,0,0,0,1,0,0,0,0,0,1,0,1,0,0,7,3
2025-07-04,4,금,0,,27.9,24.6,31.4,0,0,0,0,1,0,0,0,0,1,0,1,0,0,7,4
2025-07-05,5,토,1,토요일,28.6,24.8,33.1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,7,5
2025-07-06,6,일,1,일요일,29.0,25.6,33.6,0,0,0,0,0,0,1,1,1,0,0,1,0,0,7,6
2025-07-07,0,월,0,,30.0,26.5,35.1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,7,7
2025-07-08,1,화,0,,31.4,26.6,36.3,0,1,0,0,0,0,0,0,0,1,0,1,0,0,7,8
2025-07-09,2,수,0,,31.0,26.7,35.5,0,0,1,0,0,0,0,0,0,1,0,1,0,0,7,9
2025-07-10,3,목,0,,29.8,24.6,34.5,0,0,0,1,0,0,0,0,0,1,0,1,0,0,7,10
2025-07-11,4,금,0,,29.0,24.3,34.5,0,0,0,0,1,0,0,0,0,1,0,1,0,0,7,11
2025-07-12,5,토,1,토요일,28.6,22.7,34.1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,7,12
2025-07-13,6,일,1,일요일,25.3,21.5,30.4,0,0,0,0,0,0,1,1,1,0,0,1,0,0,7,13
2025-07-14,0,월,0,,23.4,20.3,31.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,7,14
2025-07-15,1,화,0,,22.9,20.3,25.5,0,1,0,0,0,0,0,0,0,1,0,1,0,0,7,15
2025-07-16,2,수,0,,22.6,21.4,24.5,0,0,1,0,0,0,0,0,0,1,0,1,0,0,7,16
2025-07-17,3,목,0,,22.0,21.3,22.9,0,0,0,1,0,0,0,0,0,1,0,1,0,0,7,17
2025-07-18,4,금,0,,24.3,21.1,28.5,0,0,0,0,1,0,0,0,0,1,0,1,0,0,7,18
2025-07-19,5,토,1,토요일,24.6,22.8,28.0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,7,19
2025-07-20,6,일,1,일요일,27.9,22.7,32.8,0,0,0,0,0,0,1,1,1,0,0,1,0,0,7,20
2025-07-21,0,월,0,,28.4,23.9,33.7,1,0,0,0,0,0,0,0,0,1,0,1,0,0,7,21
2025-07-22,1,화,0,,28.6,24.5,34.2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,7,22
2025-07-23,2,수,0,,28.9,24.3,33.8,0,0,1,0,0,0,0,0,0,1,0,1,0,0,7,23
2025-07-24,3,목,0,,29.9,24.9,35.1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,7,24
2025-07-25,4,금,0,,30.4,24.9,35.8,0,0,0,0,1,0,0,0,0,1,0,1,0,0,7,25
2025-07-26,5,토,1,토요일,30.6,24.9,35.3,0,0,0,0,0,1,0,1,1,0,0,1,0,0,7,26
2025-07-27,6,일,1,일요일,31.6,26.6,36.0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,7,27
