month,weekday,weekday_name,station,hour,direction,traffic,area,density,area_per_person,los_grade,latitude,longitude,order,los_priority
1,5,토,갈마역,11,승차,192.0,1991.4999999999998,0,124.46874999999999,A,36.35767777,127.372971,13,1
1,5,토,갈마역,12,승차,200.75,1991.4999999999998,0,119.04358655043586,A,36.35767777,127.372971,13,1
1,5,토,갈마역,13,승차,195.0,1991.4999999999998,0,122.55384615384614,A,36.35767777,127.372971,13,1
1,5,토,갈마역,14,승차,173.0,1991.4999999999998,0,138.1387283236994,A,36.35767777,127.372971,13,1
1,5,토,갈마역,15,승차,181.25,1991.4999999999998,0,131.85103448275862,A,36.35767777,127.372971,13,1
1,5,토,갈마역,16,승차,203.25,1991.4999999999998,0,117.57933579335791,A,36.35767777,127.372971,13,1
1,5,토,갈마역,17,승차,172.25,1991.4999999999998,0,138.74020319303338,A,36.35767777,127.372971,13,1
1,5,토,갈마역,18,승차,140.25,1991.4999999999998,0,170.39572192513367,A,36.35767777,127.372971,13,1
1,5,토,갈마역,19,승차,89.5,1991.4999999999998,0,267.0167597765363,A,36.35767777,127.372971,13,1
1,5,토,갈마역,20,승차,85.25,1991.4999999999998,0,280.3284457478006,A,36.35767777,127.372971,13,1
1,5,토,갈마역,21,승차,65.0,1991.4999999999998,0,367.66153846153844,A,36.35767777,127.372971,13,1
1,5,토,갈마역,22,승차,42.0,1991.4999999999998,0,568.9999999999999,A,36.35767777,127.372971,13,1
1,5,토,갈마역,23,승차,43.75,1991.4999999999998,0,546.24,A,36.35767777,127.372971,13,1
1,5,토,갈마역,0,승차,1.25,1991.4999999999998,0,19118.399999999998,A,36.35767777,127.372971,13,1
1,5,토,갈마역,1,승차,0.0,1991.4999999999998,0,,A,36.35767777,127.372971,13,1
1,5,토,갈마역,2,승차,0.0,1991.4999999999998,0,,A,36.35767777,127.372971,13,1
1,1,화,갈마역,3,승차,0.0,1991.4999999999998,0,,A,36.35767777,127.372971,13,1
1,1,화,갈마역,4,승차,0.25,1991.4999999999998,0,95592.0,A,36.35767777,127.372971,13,1
1,1,화,갈마역,5,승차,60.5,1991.4999999999998,0,395.0082644628099,A,36.35767777,127.372971,13,1
1,1,화,갈마역,6,승차,90.25,1991.4999999999998,0,264.79778393351796,A,36.35767777,127.372971,13,1
1,1,화,갈마역,7,승차,219.5,1991.4999999999998,0,108.874715261959,A,36.35767777,127.372971,13,1
1,1,화,갈마역,8,승차,401.5,1991.4999999999998,0,59.52179327521793,A,36.35767777,127.372971,13,1
1,1,화,갈마역,9,승차,189.75,1991.4999999999998,0,125.94466403162053,A,36.35767777,127.372971,13,1
1,1,화,갈마역,10,승차,165.0,1991.4999999999998,0,144.83636363636361,A,36.35767777,127.372971,13,1
1,1,화,갈마역,11,승차,145.0,1991.4999999999998,0,164.81379310344826,A,36.35767777,127.372971,13,1
1,1,화,갈마역,12,승차,142.0,1991.4999999999998,0,168.29577464788733,A,36.35767777,127.372971,13,1
1,1,화,갈마역,13,승차,169.0,1991.4999999999998,0,141.40828402366864,A,36.35767777,127.372971,13,1
1,1,화,갈마역,14,승차,142.25,1991.4999999999998,0,168.0,A,36.35767777,127.372971,13,1
1,1,화,갈마역,15,승차,155.25,1991.4999999999998,0,153.93236714975845,A,36.35767777,127.372971,13,1
1,1,화,갈마역,16,승차,149.0,1991.4999999999998,0,160.38926174496643,A,36.35767777,127.372971,13,1
1,1,화,갈마역,17,승차,167.5,1991.4999999999998,0,142.67462686567163,A,36.35767777,127.372971,13,1
1,1,화,갈마역,18,승차,165.75,1991.4999999999998,0,144.1809954751131,A,36.35767777,127.372971,13,1
1,1,화,갈마역,19,승차,96.5,1991.4999999999998,0,247.64766839378237,A,36.35767777,127.372971,13,1
1,1,화,갈마역,20,승차,69.75,1991.4999999999998,0,342.62365591397844,A,36.35767777,127.372971,13,1
1,1,화,갈마역,21,승차,75.0,1991.4999999999998,0,318.64,A,36.35767777,127.372971,13,1
1,1,화,갈마역,22,승차,41.0,1991.4999999999998,0,582.8780487804878,A,36.35767777,127.372971,13,1
1,1,화,갈마역,23,승차,25.5,1991.4999999999998,0,937.1764705882351,A,36.35767777,127.372971,13,1
1,1,화,갈마역,0,승차,1.25,1991.4999999999998,0,19118.399999999998,A,36.35767777,127.372971,13,1
1,1,화,갈마역,1,승차,0.0,1991.4999999999998,0,,A,36.35767777,127.372971,13,1
1,1,화,갈마역,2,승차,0.0,1991.4999999999998,0,,A,36.35767777,127.372971,13,1
2,4,금,갈마역,3,승차,0.0,1991.4999999999998,0,,A,36.35767777,127.372971,13,1
2,4,금,갈마역,4,승차,0.0,1991.4999999999998,0,,A,36.35767777,127.372971,13,1
2,4,금,갈마역,5,승차,66.5,1991.4999999999998,0,359.36842105263156,A,36.35767777,127.372971,13,1
2,4,금,갈마역,6,승차,106.75,1991.4999999999998,0,223.8688524590164,A,36.35767777,127.372971,13,1
2,4,금,갈마역,7,승차,261.0,1991.4999999999998,0,91.5632183908046,A,36.35767777,127.372971,13,1
2,4,금,갈마역,8,승차,502.25,1991.4999999999998,0,47.58188153310104,A,36.35767777,127.372971,13,1
2,4,금,갈마역,9,승차,213.25,1991.4999999999998,0,112.06565064478312,A,36.35767777,127.372971,13,1
2,4,금,갈마역,10,승차,173.75,1991.4999999999998,0,137.54244604316546,A,36.35767777,127.372971,13,1
2,4,금,갈마역,11,승차,168.75,1991.4999999999998,0,141.61777777777777,A,36.35767777,127.372971,13,1
2,4,금,갈마역,12,승차,172.0,1991.4999999999998,0,138.94186046511626,A,36.35767777,127.372971,13,1
2,4,금,갈마역,13,승차,189.0,1991.4999999999998,0,126.44444444444443,A,36.35767777,127.372971,13,1
2,4,금,갈마역,14,승차,158.0,1991.4999999999998,0,151.25316455696202,A,36.35767777,127.372971,13,1
2,4,금,갈마역,15,승차,167.5,1991.4999999999998,0,142.67462686567163,A,36.35767777,127.372971,13,1
2,4,금,갈마역,16,승차,169.75,1991.4999999999998,0,140.78350515463916,A,36.35767777,127.372971,13,1
2,4,금,갈마역,17,승차,227.0,1991.4999999999998,0,105.27753303964758,A,36.35767777,127.372971,13,1
2,4,금,갈마역,18,승차,247.75,1991.4999999999998,0,96.46014127144298,A,36.35767777,127.372971,13,1
2,4,금,갈마역,19,승차,139.25,1991.4999999999998,0,171.61938958707358,A,36.35767777,127.372971,13,1
2,4,금,갈마역,20,승차,98.25,1991.4999999999998,0,243.23664122137401,A,36.35767777,127.372971,13,1
2,4,금,갈마역,21,승차,76.25,1991.4999999999998,0,313.41639344262296,A,36.35767777,127.372971,13,1
2,4,금,갈마역,22,승차,49.0,1991.4999999999998,0,487.71428571428567,A,36.35767777,127.372971,13,1
2,4,금,갈마역,23,승차,41.25,1991.4999999999998,0,579.3454545454545,A,36.35767777,127.372971,13,1
2,4,금,갈마역,0,승차,1.5,1991.4999999999998,0,15931.999999999998,A,36.35767777,127.372971,13,1
2,4,금,갈마역,1,승차,0.0,1991.4999999999998,0,,A,36.35767777,127.372971,13,1
2,4,금,갈마역,2,승차,0.0,1991.4999999999998,0,,A,36.35767777,127.372971,13,1
2,3,목,갈마역,3,승차,0.0,1991.4999999999998,0,,A,36.35767777,127.372971,13,1
2,3,목,갈마역,4,승차,0.0,1991.4999999999998,0,,A,36.35767777,127.372971,13,1
2,3,목,갈마역,5,승차,57.75,1991.4999999999998,0,413.81818181818176,A,36.35767777,127.372971,13,1
2,3,목,갈마역,6,승차,104.75,1991.4999999999998,0,228.14319809069212,A,36.35767777,127.372971,13,1
2,3,목,갈마역,7,승차,259.75,1991.4999999999998,0,92.0038498556304,A,36.35767777,127.372971,13,1
2,3,목,갈마역,8,승차,500.0,1991.4999999999998,0,47.796,A,36.35767777,127.372971,13,1
2,3,목,갈마역,9,승차,220.0,1991.4999999999998,0,108.62727272727273,A,36.35767777,127.372971,13,1
2,3,목,갈마역,10,승차,161.0,1991.4999999999998,0,148.43478260869566,A,36.35767777,127.372971,13,1
2,3,목,갈마역,11,승차,148.75,1991.4999999999998,0,160.65882352941176,A,36.35767777,127.372971,13,1
2,3,목,갈마역,12,승차,155.5,1991.4999999999998,0,153.68488745980707,A,36.35767777,127.372971,13,1
2,3,목,갈마역,13,승차,171.5,1991.4999999999998,0,139.34693877551018,A,36.35767777,127.372971,13,1
2,3,목,갈마역,14,승차,165.5,1991.4999999999998,0,144.39879154078548,A,36.35767777,127.372971,13,1
2,3,목,갈마역,15,승차,157.25,1991.4999999999998,0,151.9745627980922,A,36.35767777,127.372971,13,1
2,3,목,갈마역,16,승차,157.5,1991.4999999999998,0,151.73333333333332,A,36.35767777,127.372971,13,1
2,3,목,갈마역,17,승차,216.5,1991.4999999999998,0,110.38337182448038,A,36.35767777,127.372971,13,1
2,3,목,갈마역,18,승차,199.0,1991.4999999999998,0,120.09045226130652,A,36.35767777,127.372971,13,1
2,3,목,갈마역,19,승차,107.75,1991.4999999999998,0,221.79118329466357,A,36.35767777,127.372971,13,1
2,3,목,갈마역,20,승차,91.25,1991.4999999999998,0,261.8958904109589,A,36.35767777,127.372971,13,1
